dim,bits,algo,param,runtime,final_norm
55,35,BKZ,20.0,0.043723344802856445,78389111525.55957
55,23,LLL,0.75,0.007899045944213867,25620801.858933847
55,23,LLL,0.9,0.009023666381835938,22362628.61230891
55,23,LLL,0.99,0.008655548095703125,21746747.163524825
55,23,BKZ,2.0,0.013199329376220703,21746747.163524825
55,23,BKZ,10.0,0.03820085525512695,18975968.349517185
55,23,BKZ,20.0,0.033504486083984375,18975968.349517185
50,39,LLL,0.75,0.008861064910888672,1464229536820.3044
50,39,LLL,0.9,0.009767770767211914,1332620841801.1848
50,39,LLL,0.99,0.009958982467651367,1109797642370.922
50,39,BKZ,2.0,0.013529777526855469,1109797642370.922
50,39,BKZ,10.0,0.028790712356567383,1109797642370.922
50,39,BKZ,20.0,0.04553675651550293,1109797642370.922
30,40,LLL,0.75,0.002337932586669922,2258705101441.1304
30,40,LLL,0.9,0.0023550987243652344,1641669497694.593
30,40,LLL,0.99,0.0034139156341552734,1624208768680.914
30,40,BKZ,2.0,0.0036690235137939453,1624208768680.914
30,40,BKZ,10.0,0.00784921646118164,1624208768680.914
30,40,BKZ,20.0,0.008742094039916992,1624208768680.914
55,27,LLL,0.75,0.012276411056518555,375316996.78116405
55,27,LLL,0.9,0.012948751449584961,338915133.18056566
55,27,LLL,0.99,0.013744592666625977,309827999.57113224
55,27,BKZ,2.0,0.017848730087280273,309827999.57113224
55,27,BKZ,10.0,0.03716850280761719,303860138.9634462
55,27,BKZ,20.0,0.07689237594604492,303860138.9634462
55,23,LLL,0.75,0.0072252750396728516,24314962.09761535
55,23,LLL,0.9,0.008593082427978516,22993256.87183675
55,23,LLL,0.99,0.008895635604858398,22993256.87183675
55,23,BKZ,2.0,0.013327360153198242,22993256.87183675
55,23,BKZ,10.0,0.03005838394165039,18945237.17022178
55,23,BKZ,20.0,0.03421163558959961,18945237.17022178
35,25,LLL,0.75,0.0032613277435302734,80419108.10651739
35,25,LLL,0.9,0.0036325454711914062,64678594.02511982
35,25,LLL,0.99,0.003892183303833008,58002624.46282468
35,25,BKZ,2.0,0.005241870880126953,58002624.46282468
35,25,BKZ,10.0,0.009154796600341797,57024385.823796146
35,25,BKZ,20.0,0.012950658798217773,57024385.823796146
45,37,LLL,0.75,0.007073402404785156,365911644784.29736
45,37,LLL,0.9,0.007561445236206055,299709213819.89233
45,37,LLL,0.99,0.008638381958007812,288691497464.7935
45,37,BKZ,2.0,0.011889457702636719,288691497464.7935
45,37,BKZ,10.0,0.031159162521362305,273550536531.97485
45,37,BKZ,20.0,0.045963287353515625,280043763157.8661
45,36,LLL,0.75,0.006783246994018555,158286912829.46793
